Question	OptionA	OptionB	OptionC	OptionD	OptionE	Correct	Explanation	Tags
Which of the following cells is NOT localized in connective tissue?	none is correct	macrophages	eosinophilic leucocytes	plasma cells	fibroblasts	A	"<div><strong>Correct:</strong> A</div>
<div><strong>Core idea (exam focus):</strong> Connective tissue contains resident structural cells and many immune cells.</div>
<div><strong>Mechanism / reasoning:</strong> Fibroblasts are the main resident matrix-producing cells. Macrophages and plasma cells are common resident/wandering immune cells. Eosinophils migrate into connective tissue especially in allergy and parasitic responses. So none of B–E is “not localized” in connective tissue.</div>
<div><strong>Why the other options are not:</strong><ul><li>B–E: Each is found in connective tissue (resident or migrating), so none can be the exception.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> Connective tissue = fibroblasts + immune cells (macrophages, plasma cells, granulocytes).</div>
<div><strong>Active recall:</strong> Which lineage gives rise to plasma cells?</div>"	CYTOLOGY SAMPLETEST
What is the average lifespan of lymphocytes?	from a few hours to a few decades	120 days	10-12 hours	9-12 days	1-8 days	A	"<div><strong>Correct:</strong> A</div>
<div><strong>Core idea (exam focus):</strong> Lymphocytes have highly variable lifespan depending on subtype and activation state.</div>
<div><strong>Mechanism / reasoning:</strong> Some lymphocytes are short-lived (hours to days), while memory T and B cells can persist for years to decades, maintaining immune memory.</div>
<div><strong>Why the other options are not:</strong><ul><li>B: 120 days is the classic RBC lifespan.</li><li>C: Too short; more typical of short-lived granulocyte circulation times.</li><li>D/E: Too narrow; ignore long-lived memory cells.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> Lymphocytes = immune memory → potentially decades-long survival.</div>
<div><strong>Active recall:</strong> Which lymphocyte population explains durable vaccine protection?</div>"	CYTOLOGY SAMPLETEST
The mesenchyme is an embryonic:	Connective tissue	Muscle tissue	Nerve tissue	Epithelial tissue	None of listed	A	"<div><strong>Correct:</strong> A</div>
<div><strong>Core idea (exam focus):</strong> Mesenchyme is embryonic connective tissue.</div>
<div><strong>Mechanism / reasoning:</strong> It is a loose network of stellate cells in abundant ground substance (mainly mesoderm-derived) that gives rise to connective tissues and contributes to many mesodermal derivatives.</div>
<div><strong>Why the other options are not:</strong><ul><li>B: Muscle derives from mesenchyme but mesenchyme itself is not muscle.</li><li>C: Neural tissue is primarily ectoderm-derived.</li><li>D: Mesenchyme is not epithelium.</li><li>E: False because A is correct.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> Mesenchyme = embryonic connective tissue (loose cells + ground substance).</div>
<div><strong>Active recall:</strong> Name two tissues that derive from mesenchyme.</div>"	CYTOLOGY SAMPLETEST
Identify the indicated cell:	Lymphocyte	Monocyte	Eosinophilic granulocyte	Neutrophilic granulocyte		C	"<div><strong>Correct:</strong> C</div>
<div><strong>Core idea (exam focus):</strong> Identify leukocytes by granule color and nuclear shape.</div>
<div><strong>Mechanism / reasoning:</strong> Eosinophils have large coarse red-orange granules and typically a bilobed nucleus. The pictured cell matches these features.</div>
<div><strong>Why the other options are not:</strong><ul><li>A: Lymphocyte has a large round nucleus with scant cytoplasm, no coarse granules.</li><li>B: Monocyte is larger with kidney-shaped nucleus and gray-blue cytoplasm.</li><li>D: Neutrophil has multi-lobed nucleus (3–5) with fine pale granules.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> Red-orange granules + bilobed nucleus = eosinophil.</div>
<div><strong>Active recall:</strong> Which granulocyte has dark blue-purple granules that can obscure the nucleus?</div>"	CYTOLOGY SAMPLETEST
From the 3rd month, the hemopoiesis is:	Extravasal	Intravasal	There is no hemopoiesis yet	Extraembryonic	Pulmonary	A	"<div><strong>Correct:</strong> A</div>
<div><strong>Core idea (exam focus):</strong> Fetal hematopoiesis shifts sites and patterns over time.</div>
<div><strong>Mechanism / reasoning:</strong> From about the 3rd month, hematopoiesis occurs mainly in fetal liver (and spleen) and is predominantly extravascular (cells develop outside vessels and then enter circulation).</div>
<div><strong>Why the other options are not:</strong><ul><li>B: Intravascular is not the dominant pattern at this stage.</li><li>C: False; hematopoiesis is active early.</li><li>D: Extraembryonic refers to yolk sac phase earlier.</li><li>E: Pulmonary is not a hematopoietic site.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> Yolk sac (extraembryonic) → liver/spleen (3rd month, extravascular) → bone marrow (late fetal/postnatal).</div>
<div><strong>Active recall:</strong> Main hematopoietic organ in mid-gestation?</div>"	CYTOLOGY SAMPLETEST
What is the name of the outer layer of the blastocyst?	Trophoblast	Ембриобласт	Epiblast	Hypoblast	Gamete	A	"<div><strong>Correct:</strong> A</div>
<div><strong>Core idea (exam focus):</strong> Blastocyst has an outer and inner cell population.</div>
<div><strong>Mechanism / reasoning:</strong> The outer layer is trophoblast (implantation, placenta). The inner cell mass is embryoblast, which later forms epiblast and hypoblast.</div>
<div><strong>Why the other options are not:</strong><ul><li>B: Embryoblast is inner cell mass.</li><li>C/D: Epiblast/hypoblast are later derivatives of embryoblast in the bilaminar disc.</li><li>E: Gamete is sperm or oocyte, not a blastocyst layer.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> Trophoblast → placenta; Embryoblast → embryo proper.</div>
<div><strong>Active recall:</strong> Name the two trophoblast layers formed during implantation.</div>"	CYTOLOGY SAMPLETEST
The amniotic cavity appears within the:	Epiblast	Cytotrophoblast	Syncytiotrophoblast	Hypoblast	Notochord	A	"<div><strong>Correct:</strong> A</div>
<div><strong>Core idea (exam focus):</strong> Early week 2: amniotic cavity formation.</div>
<div><strong>Mechanism / reasoning:</strong> A small cleft forms within the epiblast and expands into the amniotic cavity. Amnioblasts (from epiblast) line it.</div>
<div><strong>Why the other options are not:</strong><ul><li>B/C: Trophoblast layers are for implantation/placenta, not cavity formation.</li><li>D: Hypoblast lines yolk sac, not amnion.</li><li>E: Notochord forms later from mesoderm.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> Epiblast → amnion + embryo proper; Hypoblast → yolk sac.</div>
<div><strong>Active recall:</strong> Which cavity forms on the opposite side of the bilaminar disc?</div>"	CYTOLOGY SAMPLETEST
Which of the statements regarding the types of spermatogionia is NOT true?	Type A - stem cell	Type A dark (Ad) – long-term reserve	Type A pale (Ap) – mitotically active	Type B – progenitor generating spermatocytes	Type C - stem cell generating Sertoli cells	E	"<div><strong>Correct:</strong> E</div>
<div><strong>Core idea (exam focus):</strong> Spermatogonia are germ cells; Sertoli cells are somatic support cells.</div>
<div><strong>Mechanism / reasoning:</strong> Type A (Ad reserve, Ap active) maintain the stem pool; Type B are committed progenitors that form spermatocytes. There is no physiologic “Type C spermatogonium”, and spermatogonia do not generate Sertoli cells.</div>
<div><strong>Why the other options are not:</strong><ul><li>A–D: These statements match the standard classification and fate of spermatogonia.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> Germ line (spermatogonia) never produces Sertoli cells.</div>
<div><strong>Active recall:</strong> From which embryonic source do Sertoli cells arise, and which fetal hormone do they secrete?</div>"	CYTOLOGY SAMPLETEST
The second meiotic division of the female gametes is complete at:	Birth	1 year of life	Puberty	Fertilization	None of the answers is true	D	"<div><strong>Correct:</strong> D</div>
<div><strong>Core idea (exam focus):</strong> Timing of meiotic arrests in oogenesis.</div>
<div><strong>Mechanism / reasoning:</strong> Primary oocytes arrest in prophase I before birth. At ovulation they complete meiosis I, then the secondary oocyte arrests in metaphase II. Meiosis II completes only upon fertilization (forming ovum + 2nd polar body).</div>
<div><strong>Why the other options are not:</strong><ul><li>A/B: Meiosis is arrested in prophase I, not completed.</li><li>C: Puberty/ovulation completes meiosis I, not II.</li><li>E: False because D is true.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> Birth: Prophase I arrest; Ovulation: finish meiosis I; Fertilization: finish meiosis II.</div>
<div><strong>Active recall:</strong> At which stage is the secondary oocyte arrested at ovulation?</div>"	CYTOLOGY SAMPLETEST
The primordial germ cells during their migration divide by:	Mitosis	Meiosis	Amitosis	Mitosis and amitosis	None of the answers is true	A	"<div><strong>Correct:</strong> A</div>
<div><strong>Core idea (exam focus):</strong> PGCs proliferate while migrating to the gonadal ridges.</div>
<div><strong>Mechanism / reasoning:</strong> Primordial germ cells originate near the yolk sac and migrate to the gonadal ridges, increasing in number by mitotic divisions. Meiosis begins later after gonadal colonization (sex-specific timing).</div>
<div><strong>Why the other options are not:</strong><ul><li>B: Meiosis begins later, not during migration.</li><li>C: Amitosis is not a normal developmental mechanism here.</li><li>D: Contains incorrect amitosis.</li><li>E: False because A is correct.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> Yolk sac → migration + mitosis → gonadal ridge → meiosis later.</div>
<div><strong>Active recall:</strong> When do female germ cells first enter meiosis, and where?</div>"	CYTOLOGY SAMPLETEST
How long does normally capacitation of the semen take?	1-3 hours	3-5 hours	5-7 hours	7-9 hours	9-11 hours	B	"<div><strong>Correct:</strong> B</div>
<div><strong>Core idea (exam focus):</strong> Capacitation is a functional maturation of sperm in the female tract and takes several hours.</div>
<div><strong>Mechanism / reasoning:</strong> Physiologically, capacitation typically requires about 3–5 hours (uterus/uterine tube environment), enabling the acrosome reaction later at the zona pellucida.</div>
<div><strong>Why the other options are not:</strong><ul><li>A: Often too short for the standard exam value.</li><li>C–E: Longer than the classic physiologic range tested.</li></ul></div>
<div><strong>Exam gold (high-yield):</strong> Capacitation prepares sperm; acrosome reaction occurs later at zona pellucida.</div>
<div><strong>Active recall:</strong> What key membrane change enables capacitation (cholesterol removal) and what reaction becomes possible afterward?</div>"	CYTOLOGY SAMPLETEST
