Regarding the S phase of the cell cycle, which of the following occurs simultaneously with DNA replication?						C	"<div><b>Correct:</b> <b>C</b> — </div>
<div><b>Why:</b> Synthesis of histones  Histone production is tightly coupled with DNA replication during the S phase to package the new DNA.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
What is the structural significance of the 8-fold symmetry in the nuclear pore complex?						D	"<div><b>Correct:</b> <b>D</b> — </div>
<div><b>Why:</b> It provides a massive, organized framework for nucleoporins.  The complex is a highly symmetric assembly of multiple nucleoporins that form the transport channel.</div>
<div><b>High-yield:</b> Key point: Nuclear pore complexes are built from **nucleoporins** and show **8-fold symmetry**, forming the selective transport gateway.</div>"	CYTOLOGY GEMINI
Which substage of Prophase I is characterized by the initiation of 'crossing-over' between non-sister chromatids?						C	"<div><b>Correct:</b> <b>C</b> — </div>
<div><b>Why:</b> Pachytene  Pachytene is the specific stage where crossing-over (genetic recombination) takes place.</div>
<div><b>High-yield:</b> Key point: Meiosis I involves **homologous pairing (synapsis)** and recombination; Meiosis II separates sister chromatids.</div>"	CYTOLOGY GEMINI
In the 'EXCEPT' logic of MU-Varna, why would labeling chromatin as 'containing primarily RNA' be incorrect?						A	"<div><b>Correct:</b> <b>A</b> — </div>
<div><b>Why:</b> Chromatin is primarily DNA and associated histones.  The defining components of chromatin are DNA and histones; RNA is a secondary or transient component.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
What happens to the nuclear lamina during the transition from prophase to prometaphase?						A	"<div><b>Correct:</b> <b>A</b> — </div>
<div><b>Why:</b> Lamins are phosphorylated, causing the lamina to disassemble.  Phosphorylation by kinases leads to the breakdown of both the lamina and the envelope.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
Which of the following describes the 'Fibrillar Center' of the nucleolus?						A	"<div><b>Correct:</b> <b>A</b> — </div>
<div><b>Why:</b> Location of inactive DNA coding for rRNA.  The fibrillar center contains the DNA templates for ribosomal RNA.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
During apoptosis, what role do the Bcl-2 family proteins play?						D	"<div><b>Correct:</b> <b>D</b> — </div>
<div><b>Why:</b> They regulate the release of pro-apoptotic factors from mitochondria.  Bcl-2 family members control mitochondrial membrane permeability.</div>
<div><b>High-yield:</b> Exam trap: **Apoptosis** preserves membrane integrity (apoptotic bodies) and avoids inflammation, unlike necrosis.</div>"	CYTOLOGY GEMINI
A cell with a 'Barr Body' is most likely from which individual?						C	"<div><b>Correct:</b> <b>C</b> — </div>
<div><b>Why:</b> A healthy human female.  One of the two X chromosomes in females is inactivated and condensed into a Barr body.</div>
<div><b>High-yield:</b> Key point: A **Barr body** is an inactivated X chromosome (facultative heterochromatin), typical in somatic cells of genetic females.</div>"	CYTOLOGY GEMINI
Which protein is the primary component of the 'Contractile Ring' during cytokinesis?						A	"<div><b>Correct:</b> <b>A</b> — </div>
<div><b>Why:</b> Actin  The contractile ring is composed of actin filaments and myosin motor proteins.</div>
<div><b>High-yield:</b> Key point: The contractile ring is mainly **actin** (with myosin II as motor), not microtubules.</div>"	CYTOLOGY GEMINI
What is the fate of the nuclear envelope at the end of Telophase?						C	"<div><b>Correct:</b> <b>C</b> — </div>
<div><b>Why:</b> It reforms around the individual chromosomes.  The nuclear envelope reassembles around the separated sets of chromosomes to form new nuclei.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
Which chromatin type is characterized by being 'transcriptionally active' and 'lightly stained'?						D	"<div><b>Correct:</b> <b>D</b> — </div>
<div><b>Why:</b> Euchromatin  Euchromatin is dispersed, allowing access for transcription machinery.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
What distinguishes Necrosis from Apoptosis regarding the cell's physical size?						C	"<div><b>Correct:</b> <b>C</b> — </div>
<div><b>Why:</b> Apoptosis involves cell shrinkage.  The cell condenses and shrinks during programmed cell death.</div>
<div><b>High-yield:</b> Exam trap: **Apoptosis** preserves membrane integrity (apoptotic bodies) and avoids inflammation, unlike necrosis.</div>"	CYTOLOGY GEMINI
The perinuclear space is the gap between:						A	"<div><b>Correct:</b> <b>A</b> — </div>
<div><b>Why:</b> The inner and outer nuclear membranes.  The nuclear envelope consists of two membranes separated by this narrow space.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
Which protein is part of the 'core' histone octamer?						A	"<div><b>Correct:</b> <b>A</b> — </div>
<div><b>Why:</b> H2A  The octamer consists of two each of H2A, H2B, H3, and H4.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
A mutation that prevents the formation of the 'synaptonemal complex' would directly affect which process?						C	"<div><b>Correct:</b> <b>C</b> — </div>
<div><b>Why:</b> Meiotic synapsis  This complex is essential for pairing homologous chromosomes in Meiosis I.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
Which nuclear structure is the site of rRNA synthesis and preliminary ribosomal assembly?						D	"<div><b>Correct:</b> <b>D</b> — </div>
<div><b>Why:</b> Nucleolus  The nucleolus is a specialized region for manufacturing ribosome components.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
In the MU-Varna exam, if an option states that the 'spindle is made of actin', why is it incorrect?						D	"<div><b>Correct:</b> <b>D</b> — </div>
<div><b>Why:</b> The spindle is composed of microtubules (tubulin).  Microtubules form the spindle fibers; actin forms the cytokinesis ring.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
During which phase of mitosis do chromosomes align at the equatorial plate?						B	"<div><b>Correct:</b> <b>B</b> — </div>
<div><b>Why:</b> Metaphase  Metaphase is defined by the alignment of chromosomes at the cell&#x27;s center.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
What is 'nondisjunction' and when does it classically occur to cause chromosome abnormalities?						B	"<div><b>Correct:</b> <b>B</b> — </div>
<div><b>Why:</b> Failure of chromosomes to separate during Meiosis I.  Nondisjunction is the failure of separation, often in the first meiotic division.</div>
<div><b>High-yield:</b> Key point: Nondisjunction is failure of chromosome separation (classically Meiosis I), leading to aneuploidy.</div>"	CYTOLOGY GEMINI
Which of the following describes the 'Pars Granulosa' of the nucleolus?						B	"<div><b>Correct:</b> <b>B</b> — </div>
<div><b>Why:</b> Maturing ribosomal subunits.  The granular part consists of nearly complete ribosomal subunits ready for export.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
What is the primary function of Histone H1?						D	"<div><b>Correct:</b> <b>D</b> — </div>
<div><b>Why:</b> It stabilizes the 30-nm chromatin fiber by pulling nucleosomes together.  H1 is the &#x27;linker&#x27; histone that helps fold nucleosomes into more compact structures.</div>
<div><b>High-yield:</b> Key point: **Histone H1** is the linker histone that promotes chromatin compaction beyond the 'beads-on-a-string' level.</div>"	CYTOLOGY GEMINI
Apoptosis during embryonic development is necessary for which of the following?						C	"<div><b>Correct:</b> <b>C</b> — </div>
<div><b>Why:</b> Digit separation (e.g., in the hands).  The removal of &#x27;webbing&#x27; between fingers is a classic example of programmed cell death.</div>
<div><b>High-yield:</b> Exam trap: **Apoptosis** preserves membrane integrity (apoptotic bodies) and avoids inflammation, unlike necrosis.</div>"	CYTOLOGY GEMINI
Which structure connects the nucleus to the Rough ER?						D	"<div><b>Correct:</b> <b>D</b> — </div>
<div><b>Why:</b> Outer nuclear membrane.  The outer membrane is physically continuous with the RER membrane.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
What happens to the DNA in a cell undergoing apoptosis according to a standard 'DNA ladder' test?						C	"<div><b>Correct:</b> <b>C</b> — </div>
<div><b>Why:</b> It is cleaved into regular fragments of about 180-200 base pairs.  Caspase-activated DNase cuts DNA between nucleosomes in an ordered pattern.</div>
<div><b>High-yield:</b> Exam trap: **Apoptosis** preserves membrane integrity (apoptotic bodies) and avoids inflammation, unlike necrosis.</div>"	CYTOLOGY GEMINI
Which of the following is NOT a feature of the nuclear lamina?						D	"<div><b>Correct:</b> <b>D</b> — </div>
<div><b>Why:</b> Contains the genes for ribosomal RNA.  These genes are located in the nucleolus, not the lamina.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
During Prophase I, when do homologous chromosomes align side-by-side (synapsis)?						C	"<div><b>Correct:</b> <b>C</b> — </div>
<div><b>Why:</b> Zygotene  Zygotene is characterized by the &#x27;zipping up&#x27; or synapsis of homologous pairs.</div>
<div><b>High-yield:</b> Key point: Meiosis I involves **homologous pairing (synapsis)** and recombination; Meiosis II separates sister chromatids.</div>"	CYTOLOGY GEMINI
What defines the 'Prometaphase' stage in the context of the nuclear envelope?						A	"<div><b>Correct:</b> <b>A</b> — </div>
<div><b>Why:</b> The envelope completely disassembles into small vesicles.  Prometaphase is marked by the final breakdown of the nuclear envelope.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
In meiosis, the 'reductional' division refers to:						B	"<div><b>Correct:</b> <b>B</b> — </div>
<div><b>Why:</b> Meiosis I  Meiosis I reduces the chromosome number from diploid (2n) to haploid (n).</div>
<div><b>High-yield:</b> Key point: Meiosis I involves **homologous pairing (synapsis)** and recombination; Meiosis II separates sister chromatids.</div>"	CYTOLOGY GEMINI
Which molecule is released from the mitochondria to trigger the formation of the apoptosome?						B	"<div><b>Correct:</b> <b>B</b> — </div>
<div><b>Why:</b> Cytochrome c  The release of Cytochrome c into the cytosol is the &#x27;point of no return&#x27; for apoptosis.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
A cell in G0 is described as:						A	"<div><b>Correct:</b> <b>A</b> — </div>
<div><b>Why:</b> Exited the cell cycle and entered a quiescent state.  Cells in G0 are metabolically active but have stopped dividing.</div>
<div><b>High-yield:</b> Key point: **G0** is a quiescent, non-dividing state; cells remain metabolically active but exit the cycle.</div>"	CYTOLOGY GEMINI
The 'nuclear pore complex' shows what type of rotational symmetry?						B	"<div><b>Correct:</b> <b>B</b> — </div>
<div><b>Why:</b> Eight-fold  The NPC is composed of eight protein subunits arranged in a ring.</div>
<div><b>High-yield:</b> Key point: Nuclear pore complexes are built from **nucleoporins** and show **8-fold symmetry**, forming the selective transport gateway.</div>"	CYTOLOGY GEMINI
During apoptosis, cell 'blebbing' refers to:						A	"<div><b>Correct:</b> <b>A</b> — </div>
<div><b>Why:</b> The formation of irregular bulges in the plasma membrane.  Blebbing is the protrusion of the membrane as the cytoskeleton breaks down.</div>
<div><b>High-yield:</b> Exam trap: **Apoptosis** preserves membrane integrity (apoptotic bodies) and avoids inflammation, unlike necrosis.</div>"	CYTOLOGY GEMINI
Which enzyme is responsible for the 'fragmentation' of DNA into nucleosomal units during apoptosis?						B	"<div><b>Correct:</b> <b>B</b> — </div>
<div><b>Why:</b> Endonuclease (CAD)  Caspase-activated DNase (CAD) is the enzyme that cuts the DNA.</div>
<div><b>High-yield:</b> Exam trap: **Apoptosis** preserves membrane integrity (apoptotic bodies) and avoids inflammation, unlike necrosis.</div>"	CYTOLOGY GEMINI
Which of the following is true regarding the 'Inner Nuclear Membrane'?						C	"<div><b>Correct:</b> <b>C</b> — </div>
<div><b>Why:</b> It is associated with the nuclear lamina and heterochromatin.  The inner membrane provides an anchor point for the lamina and peripheral DNA.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
A cell with highly active transcription would show:						A	"<div><b>Correct:</b> <b>A</b> — </div>
<div><b>Why:</b> Extensive euchromatin and a large nucleolus.  Active cells need open DNA (euchromatin) and many ribosomes (large nucleolus).</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
What is 'Pyknosis'?						C	"<div><b>Correct:</b> <b>C</b> — </div>
<div><b>Why:</b> The condensation and shrinkage of the nucleus.  Pyknosis is the hallmark nuclear condensation seen in both apoptosis and necrosis.</div>
<div><b>High-yield:</b> Key point: **Pyknosis** is nuclear shrinkage and chromatin condensation, seen in apoptosis and some necrotic pathways.</div>"	CYTOLOGY GEMINI
In the cell cycle, checkpoints (like G1/S) are primarily regulated by:						D	"<div><b>Correct:</b> <b>D</b> — </div>
<div><b>Why:</b> Cyclins and Cyclin-Dependent Kinases (CDKs).  The interaction of cyclins and CDKs controls the progression through checkpoints.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
During Meiosis II, what is being separated?						A	"<div><b>Correct:</b> <b>A</b> — </div>
<div><b>Why:</b> Sister chromatids.  Meiosis II is equational and separates the sisters, similar to mitosis.</div>
<div><b>High-yield:</b> Key point: Meiosis I involves **homologous pairing (synapsis)** and recombination; Meiosis II separates sister chromatids.</div>"	CYTOLOGY GEMINI
Which of the following describes 'Karyolysis'?						A	"<div><b>Correct:</b> <b>A</b> — </div>
<div><b>Why:</b> The dissolution or fading of the nucleus.  Karyolysis is the complete loss of the nucleus due to DNA degradation.</div>
<div><b>High-yield:</b> Key point: **Karyolysis** is nuclear fading due to DNA degradation, typical of necrosis.</div>"	CYTOLOGY GEMINI
The 'Nucleolar Organizer Regions' (NORs) contain:						B	"<div><b>Correct:</b> <b>B</b> — </div>
<div><b>Why:</b> Loops of DNA containing rRNA genes.  NORs are specific chromosomal locations that form the nucleolus.</div>
<div><b>High-yield:</b> Key point: NORs contain **rRNA genes**; nucleoli form around these regions.</div>"	CYTOLOGY GEMINI
In mitosis, when does the nucleolus disappear?						A	"<div><b>Correct:</b> <b>A</b> — </div>
<div><b>Why:</b> Prophase.  The nucleolus disassembles early in mitosis as chromatin condenses.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
Why does Necrosis cause inflammation but Apoptosis does not?						C	"<div><b>Correct:</b> <b>C</b> — </div>
<div><b>Why:</b> Necrosis involves membrane rupture, spilling cellular contents.  Released enzymes and debris from the ruptured cell trigger an immune response.</div>
<div><b>High-yield:</b> Exam trap: **Apoptosis** preserves membrane integrity (apoptotic bodies) and avoids inflammation, unlike necrosis.</div>"	CYTOLOGY GEMINI
Which of the following best describes 'Chiasmata'?						B	"<div><b>Correct:</b> <b>B</b> — </div>
<div><b>Why:</b> Visible sites of crossing-over between homologous chromosomes.  Chiasmata are the X-shaped bridges seen in diplotene where exchange occurred.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
What is the primary role of 'Cohesins'?						C	"<div><b>Correct:</b> <b>C</b> — </div>
<div><b>Why:</b> Holding sister chromatids together until anaphase.  Cohesin rings keep the identical copies paired for proper alignment.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
The 'Haploid' (n) chromosome number is first reached at the end of which stage?						D	"<div><b>Correct:</b> <b>D</b> — </div>
<div><b>Why:</b> Meiosis I.  After homologous chromosomes separate in Anaphase I, the daughter cells are haploid.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
Which of these is a known trigger for the 'p53' protein to initiate apoptosis?						A	"<div><b>Correct:</b> <b>A</b> — </div>
<div><b>Why:</b> Irreparable DNA damage.  p53 monitors DNA integrity and triggers death if the damage cannot be fixed.</div>
<div><b>High-yield:</b> Exam trap: **Apoptosis** preserves membrane integrity (apoptotic bodies) and avoids inflammation, unlike necrosis.</div>"	CYTOLOGY GEMINI
What is the function of the 'Satellite' DNA often found in constitutive heterochromatin?						C	"<div><b>Correct:</b> <b>C</b> — </div>
<div><b>Why:</b> Provides structural stability to centromeres and telomeres.  Highly repetitive satellite DNA is crucial for chromosome structure and protection.</div>
<div><b>High-yield:</b> Key point: **Heterochromatin** is condensed, transcriptionally inactive, and commonly located at the nuclear periphery where it associates with the lamina.</div>"	CYTOLOGY GEMINI
If a question asks 'Where are ribosomes assembled?', the most precise nuclear answer is:						C	"<div><b>Correct:</b> <b>C</b> — </div>
<div><b>Why:</b> The granular component of the nucleolus.  The &#x27;Pars Granulosa&#x27; is the specific site of ribosomal subunit assembly.</div>
<div><b>High-yield:</b> </div>"	CYTOLOGY GEMINI
Which of the following is an example of 'Facultative Heterochromatin'?						A	"<div><b>Correct:</b> <b>A</b> — </div>
<div><b>Why:</b> The Barr body in female cells.  The Barr body is an X chromosome that is inactive in some cells but could be active in others (e.g., germ cells).</div>
<div><b>High-yield:</b> Key point: **Heterochromatin** is condensed, transcriptionally inactive, and commonly located at the nuclear periphery where it associates with the lamina.</div>"	CYTOLOGY GEMINI
