Question	OptionA	OptionB	OptionC	OptionD	Correct	Explanation
Ca2+ release from the endoplasmic reticulum takes place via?	1VoltagesensitiveCa+channels	V oltage sensitive Ca2+ channels	3VoltagesensitiveCa+channels	4VoltagesensitiveCa+channels	B. V oltage sensitive Ca2+ channels	<b>Question</b><br>Ca2+ release from the endoplasmic reticulum takes place via?<br><br><b>Correct answer:</b> B — V oltage sensitive Ca2+ channels<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
Extracellular proteins such as hormones achieve their effect on the cells by the means of?	Endocytosis	Ions	Transmembrane receptors	Necrosis	C. Transmembrane receptors	<b>Question</b><br>Extracellular proteins such as hormones achieve their effect on the cells by the means of?<br><br><b>Correct answer:</b> C — Transmembrane receptors<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Secretory proteins..all are true except?	Exocytosis	Lymphocytes	Nucleic acids	Are translocated into the nucleus	D. Are translocated into the nucleus	<b>Question</b><br>Secretory proteins..all are true except?<br><br><b>Correct answer:</b> D — Are translocated into the nucleus<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Which of the cells have a prominent rough ER?	Proteins	DNA	Autophagy	Adrenal gland cells	D. Adrenal gland cells	<b>Question</b><br>Which of the cells have a prominent rough ER?<br><br><b>Correct answer:</b> D — Adrenal gland cells<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
The parts of DNA which are not exposed are concentrated in..?	Ions	Lipids	Glycogen	Heterochromatin	D. Heterochromatin	<b>Question</b><br>The parts of DNA which are not exposed are concentrated in..?<br><br><b>Correct answer:</b> D — Heterochromatin<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Amino-oxidase and catalase are characteristic enzymes of..?	Peroxisomes	Nucleolus	Rough endoplasmic reticulum	Nucleus	A. Peroxisomes	<b>Question</b><br>Amino-oxidase and catalase are characteristic enzymes of..?<br><br><b>Correct answer:</b> A — Peroxisomes<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
Microtubules..all are true except?	13 protofilaments	Are the thick filaments of the sarcomere	Tubulin α/β	Actin monomers	B. Are the thick filaments of the sarcomere	<b>Question</b><br>Microtubules..all are true except?<br><br><b>Correct answer:</b> B — Are the thick filaments of the sarcomere<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
Intermediate filaments are associated with which of the following cell functions?	Tubulin	Keratin	Desnomet	Vimentin	C. Desnomet	<b>Question</b><br>Intermediate filaments are associated with which of the following cell functions?<br><br><b>Correct answer:</b> C — Desnomet<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
Organelle included in the secretory pathway..All are true except?	Ribosomes	Peroxisomes	Autophagosomes	Nucleolus	B. Peroxisomes	<b>Question</b><br>Organelle included in the secretory pathway..All are true except?<br><br><b>Correct answer:</b> B — Peroxisomes<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
Which of the following is not a component of the plasma membrane?	Nucleic acids	Peripheral proteins	Integral proteins	Cholesterol	A. Nucleic acids	<b>Question</b><br>Which of the following is not a component of the plasma membrane?<br><br><b>Correct answer:</b> A — Nucleic acids<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Which of the following substance is not a component of the biomembrane?	Proteins	Melanin	Cholesterol	Phospholipids	B. Melanin	<b>Question</b><br>Which of the following substance is not a component of the biomembrane?<br><br><b>Correct answer:</b> B — Melanin<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Microfilaments?	Actin (G-actin/F-actin)	Consist of globular actin monomers forming a double helix	Keratin	Tubulin	B. Consist of globular actin monomers forming a double helix	<b>Question</b><br>Microfilaments?<br><br><b>Correct answer:</b> B — Consist of globular actin monomers forming a double helix<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
Which of the following of the cell matrix function is true?	Neutrophils	Regulates intracellular traffic of the molecule	RNA	Autophagy	B. Regulates intracellular traffic of the molecule	<b>Question</b><br>Which of the following of the cell matrix function is true?<br><br><b>Correct answer:</b> B — Regulates intracellular traffic of the molecule<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Which of the following statements regarding the Golgi Complex is true?	ATP synthesis	It is the site of protein glycosylation	Cis→trans trafficking	Lipid synthesis	B. It is the site of protein glycosylation	<b>Question</b><br>Which of the following statements regarding the Golgi Complex is true?<br><br><b>Correct answer:</b> B — It is the site of protein glycosylation<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
Intracellular targeting of vesicles depends on?	Proteins	Snare-Snare Interactions	Carbohydrates	Phagocytes	B. Snare-Snare Interactions	<b>Question</b><br>Intracellular targeting of vesicles depends on?<br><br><b>Correct answer:</b> B — Snare-Snare Interactions<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
The Barr-body corresponds to?	Endothelial cells	Mitosis	Carbohydrates	Heterochoromatin	D. Heterochoromatin	<b>Question</b><br>The Barr-body corresponds to?<br><br><b>Correct answer:</b> D — Heterochoromatin<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Integrins?	Smooth muscle cells	Nucleic acids	Meiosis	Link the Extracellular Matrix with the Cytoskeleton	D. Link the Extracellular Matrix with the Cytoskeleton	<b>Question</b><br>Integrins?<br><br><b>Correct answer:</b> D — Link the Extracellular Matrix with the Cytoskeleton<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
The chromatin contains the following elements..All are true except?	Water	Mitosis	RNA	Autophagy	C. RNA	<b>Question</b><br>The chromatin contains the following elements..All are true except?<br><br><b>Correct answer:</b> C — RNA<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Microtubules..all are true except?	Associate with Myosin	13 protofilaments	Tubulin α/β	Myosin association	A. Associate with Myosin	<b>Question</b><br>Microtubules..all are true except?<br><br><b>Correct answer:</b> A — Associate with Myosin<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
Major mitochondrial compartments are..All are true except?	Proton gradient	Mitochondrial pores	ATP synthase	Cristae	B. Mitochondrial pores	<b>Question</b><br>Major mitochondrial compartments are..All are true except?<br><br><b>Correct answer:</b> B — Mitochondrial pores<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
Which of the following is not a characteristic of living matter?	Meiosis	Mitosis	Refraction	DNA	C. Refraction	<b>Question</b><br>Which of the following is not a characteristic of living matter?<br><br><b>Correct answer:</b> C — Refraction<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Tissues grow in site because of the following processes..All are true except?	Autophagy	Meiosis	Apop- tosis	Adipocytes	C. Apop- tosis	<b>Question</b><br>Tissues grow in site because of the following processes..All are true except?<br><br><b>Correct answer:</b> C — Apop- tosis<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Ageing is associated with which type of processes..All are true except?	Hyperplasia	Lymphocytes	Endothelial cells	Smooth muscle cells	A. Hyperplasia	<b>Question</b><br>Ageing is associated with which type of processes..All are true except?<br><br><b>Correct answer:</b> A — Hyperplasia<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
The main molecular railroads for intracellular transport are?	Microfilaments (actin)	Lamins	Dynein	Microtubules	D. Microtubules	<b>Question</b><br>The main molecular railroads for intracellular transport are?<br><br><b>Correct answer:</b> D — Microtubules<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
Biological membranes..Which of the following is not true?	Kinesin	Lamins	Dynein	Organise the mitotic spindle during cell division	D. Organise the mitotic spindle during cell division	<b>Question</b><br>Biological membranes..Which of the following is not true?<br><br><b>Correct answer:</b> D — Organise the mitotic spindle during cell division<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
Which of the following statements about cell matrix functions are true?	Myofibroblasts	Glycogen	It regulates intracellular traffic of molecules and organelles	Adipocytes	C. It regulates intracellular traffic of molecules and organelles	<b>Question</b><br>Which of the following statements about cell matrix functions are true?<br><br><b>Correct answer:</b> C — It regulates intracellular traffic of molecules and organelles<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
The cytoplasmic inclusions...?	ALL answers are correct	Neutrophils	Glycogen	Phagocytes	A. ALL answers are correct	<b>Question</b><br>The cytoplasmic inclusions...?<br><br><b>Correct answer:</b> A — ALL answers are correct<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Ribosomes are..All are true except?	Lipid synthesis	Attached to RER	Related in function to lipid synthesis	Outer nuclear membrane	C. Related in function to lipid synthesis	<b>Question</b><br>Ribosomes are..All are true except?<br><br><b>Correct answer:</b> C — Related in function to lipid synthesis<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
Apoptosis is..All are true except?	Cell shrinkage	Caspases	Inflammation	A spontaneous process	D. A spontaneous process	<b>Question</b><br>Apoptosis is..All are true except?<br><br><b>Correct answer:</b> D — A spontaneous process<br><br><b>Core idea (exam focus)</b><br>Key cellular processes have defining features and molecular mediators.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify hallmark molecular mediators (e.g., caspases in apoptosis).</li><li>Differentiate growth, death, and division processes by defining criteria.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Apoptosis=caspases + cell shrinkage, necrosis=swelling + inflammation.
Cell crystals?	Water	Crystalline forms of protein	Mitosis	Glycogen	B. Crystalline forms of protein	<b>Question</b><br>Cell crystals?<br><br><b>Correct answer:</b> B — Crystalline forms of protein<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Which family of proteins are excretions of apoptosis?	Caspases	Programmed cell death	Inflammation	Spontaneous process	A. Caspases	<b>Question</b><br>Which family of proteins are excretions of apoptosis?<br><br><b>Correct answer:</b> A — Caspases<br><br><b>Core idea (exam focus)</b><br>Histological techniques and stains highlight specific cellular components.<br><br><b>Mechanism / reasoning</b><br><ul><li>Link the stain/technique to the chemical group it detects (carbohydrates, nucleic acids, proteins, lipids).</li><li>Use color outcome or method principle to rule out distractors.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>PAS highlights carbohydrates (glycogen, glycoproteins), H&amp;E: basophilic=blue/purple, eosinophilic=pink.
Which of the following statements related to histological techniques is not true?	Paraffin embedding includes processing of the material	Hematoxylin	Osmium tetroxide	Silver impregnation	A. Paraffin embedding includes processing of the material	<b>Question</b><br>Which of the following statements related to histological techniques is not true?<br><br><b>Correct answer:</b> A — Paraffin embedding includes processing of the material<br><br><b>Core idea (exam focus)</b><br>Histological techniques and stains highlight specific cellular components.<br><br><b>Mechanism / reasoning</b><br><ul><li>Link the stain/technique to the chemical group it detects (carbohydrates, nucleic acids, proteins, lipids).</li><li>Use color outcome or method principle to rule out distractors.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>PAS highlights carbohydrates (glycogen, glycoproteins), H&amp;E: basophilic=blue/purple, eosinophilic=pink.
Which of the following about eukaryotic/prokaryotic cells is not true?	Smooth endoplasmic reticulum	Nucleus	Prokaryotic cells are cells with a nuclear envelope	Ribosomes	C. Prokaryotic cells are cells with a nuclear envelope	<b>Question</b><br>Which of the following about eukaryotic/prokaryotic cells is not true?<br><br><b>Correct answer:</b> C — Prokaryotic cells are cells with a nuclear envelope<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
