Question	OptionA	OptionB	OptionC	OptionD	OptionE	Correct	Explanation
Which one of the following proteins builds the reticular fibers in loose connective tissue?	Collagen type III	Collagen type I	Collagen type IV	Elastin	Collagen type II	A	<b>Question</b><br>Which one of the following proteins builds the reticular fibers in loose connective tissue?<br><br><b>Correct answer:</b> A — Collagen type III<br><br><b>Core idea (exam focus)</b><br>Reticular fibers are composed of type III collagen, forming delicate supporting networks.<br><br><b>Mechanism / reasoning</b><br><ul><li>Type I = thick fibers; type IV = basal lamina; type II = cartilage; elastin = elastic fibers.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> Reticular fibers are type III collagen; other collagen types/elastin correspond to different tissues/structures.</li><li><b>C:</b> Reticular fibers are type III collagen; other collagen types/elastin correspond to different tissues/structures.</li><li><b>D:</b> Reticular fibers are type III collagen; other collagen types/elastin correspond to different tissues/structures.</li><li><b>E:</b> Reticular fibers are type III collagen; other collagen types/elastin correspond to different tissues/structures.</li></ul><br><b>Exam gold (high-yield)</b><br>
The average life-time of erythrocytes in the circulatory system is:	120 days	20 days	10 days	1 year	60 days	A	<b>Question</b><br>The average life-time of erythrocytes in the circulatory system is:<br><br><b>Correct answer:</b> A — 120 days<br><br><b>Core idea (exam focus)</b><br>Human RBC lifespan is ~120 days, cleared mainly by spleen macrophages.<br><br><b>Mechanism / reasoning</b><br><ul><li>Other values are incorrect for normal physiology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> Normal RBC survival is ~120 days, the other durations are not physiologic.</li><li><b>C:</b> Normal RBC survival is ~120 days, the other durations are not physiologic.</li><li><b>D:</b> Normal RBC survival is ~120 days, the other durations are not physiologic.</li><li><b>E:</b> Normal RBC survival is ~120 days, the other durations are not physiologic.</li></ul><br><b>Exam gold (high-yield)</b><br>
Which of the following statements regarding the red muscle fibers is NOT correct?	They contract quickly	They have more myoglobin	They have more lipid droplets	They have less glycogen	They have more mitochondria	A	<b>Question</b><br>Which of the following statements regarding the red muscle fibers is NOT correct?<br><br><b>Correct answer:</b> A — They contract quickly<br><br><b>Core idea (exam focus)</b><br>Red (type I) fibers: slow-twitch, oxidative, rich in myoglobin and mitochondria, high lipid, relatively lower glycogen.<br><br><b>Mechanism / reasoning</b><br><ul><li>Fast contraction is typical of white (type II) fibers.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> Red fibers are slow oxidative, the listed feature does not match type I physiology.</li><li><b>C:</b> Red fibers are slow oxidative, the listed feature does not match type I physiology.</li><li><b>D:</b> Red fibers are slow oxidative, the listed feature does not match type I physiology.</li><li><b>E:</b> Red fibers are slow oxidative, the listed feature does not match type I physiology.</li></ul><br><b>Exam gold (high-yield)</b><br>
The amniotic cavity appears within the:	Epiblast	Cytotrophoblast	Syncytiotrophoblast	Hypoblast	Notochord	A	<b>Question</b><br>The amniotic cavity appears within the:<br><br><b>Correct answer:</b> A — Epiblast<br><br><b>Core idea (exam focus)</b><br>Amniotic cavity forms within the epiblast (amnioblasts line it) during the 2nd week.<br><br><b>Mechanism / reasoning</b><br><ul><li>Trophoblast layers form chorionic structures; hypoblast forms yolk sac lining.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> Amniotic cavity forms within epiblast; trophoblast/hypoblast relate to other extraembryonic structures.</li><li><b>C:</b> Amniotic cavity forms within epiblast; trophoblast/hypoblast relate to other extraembryonic structures.</li><li><b>D:</b> Amniotic cavity forms within epiblast; trophoblast/hypoblast relate to other extraembryonic structures.</li><li><b>E:</b> Amniotic cavity forms within epiblast; trophoblast/hypoblast relate to other extraembryonic structures.</li></ul><br><b>Exam gold (high-yield)</b><br>
From the 3rd month, the hemopoiesis is:	Extravasal	Intravasal	There is no hemopoiesis yet	Extraembryonic	Pulmonary	A	<b>Question</b><br>From the 3rd month, the hemopoiesis is:<br><br><b>Correct answer:</b> A — Extravasal<br><br><b>Core idea (exam focus)</b><br>From ~3rd month, fetal hematopoiesis is predominantly hepatic (liver), classically described as extravascular (outside vessels) in sinusoids.<br><br><b>Mechanism / reasoning</b><br><ul><li>Intravascular hematopoiesis is earlier yolk sac; pulmonary is not a site.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> From ~3rd month hematopoiesis is mainly hepatic and classically extravascular, other options refer to wrong timing or sites.</li><li><b>C:</b> From ~3rd month hematopoiesis is mainly hepatic and classically extravascular, other options refer to wrong timing or sites.</li><li><b>D:</b> From ~3rd month hematopoiesis is mainly hepatic and classically extravascular, other options refer to wrong timing or sites.</li><li><b>E:</b> From ~3rd month hematopoiesis is mainly hepatic and classically extravascular, other options refer to wrong timing or sites.</li></ul><br><b>Exam gold (high-yield)</b><br>
Which of the following originate(s) from the paraxial mesoderm?	Dermis (skin)	Nervous tissue	Odontoblasts and cementoblasts	Smooth muscle tissue	Cardiomyocytes	A	<b>Question</b><br>Which of the following originate(s) from the paraxial mesoderm?<br><br><b>Correct answer:</b> A — Dermis (skin)<br><br><b>Core idea (exam focus)</b><br>Paraxial mesoderm forms somites → dermatome (dermis), myotome (skeletal muscle), sclerotome (vertebrae).<br><br><b>Mechanism / reasoning</b><br><ul><li>Nervous tissue = ectoderm; odontoblasts/cementoblasts = neural crest; cardiomyocytes = lateral plate mesoderm; smooth muscle mainly splanchnic mesoderm.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> Paraxial mesoderm forms somites (dermis, skeletal muscle, vertebrae), other options belong to other germ layers.</li><li><b>C:</b> Paraxial mesoderm forms somites (dermis, skeletal muscle, vertebrae), other options belong to other germ layers.</li><li><b>D:</b> Paraxial mesoderm forms somites (dermis, skeletal muscle, vertebrae), other options belong to other germ layers.</li><li><b>E:</b> Paraxial mesoderm forms somites (dermis, skeletal muscle, vertebrae), other options belong to other germ layers.</li></ul><br><b>Exam gold (high-yield)</b><br>
Monozygotic twins may have:	Only a common amnion	Only a common chorion	Only a common placenta	Only a common chorionic cavity	Common amnion, chorion, and placenta	E	<b>Question</b><br>Monozygotic twins may have:<br><br><b>Correct answer:</b> E — Common amnion, chorion, and placenta<br><br><b>Core idea (exam focus)</b><br>Membranes depend on timing of split: early split can share placenta/chorion, later can share amnion too; they may share amnion, chorion, and placenta.<br><br><b>Mechanism / reasoning</b><br><ul><li>Single ‘only’ statements are too restrictive; configuration varies with timing.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> Membrane sharing depends on timing of embryonic split; 'only' statements are too narrow.</li><li><b>B:</b> Membrane sharing depends on timing of embryonic split; 'only' statements are too narrow.</li><li><b>C:</b> Membrane sharing depends on timing of embryonic split; 'only' statements are too narrow.</li><li><b>D:</b> Membrane sharing depends on timing of embryonic split; 'only' statements are too narrow.</li></ul><br><b>Exam gold (high-yield)</b><br>
What is the name of the outer layer of the blastocyst?	Trophoblast	Embryoblast	Epiblast	Hypoblast	Gamete	A	<b>Question</b><br>What is the name of the outer layer of the blastocyst?<br><br><b>Correct answer:</b> A — Trophoblast<br><br><b>Core idea (exam focus)</b><br>Blastocyst outer cell layer is trophoblast, it contributes to placenta/chorion.<br><br><b>Mechanism / reasoning</b><br><ul><li>Embryoblast forms embryo proper; epiblast/hypoblast are later bilaminar disc layers.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> Trophoblast is the outer layer, embryoblast/epiblast/hypoblast are inner derivatives; gamete is unrelated.</li><li><b>C:</b> Trophoblast is the outer layer, embryoblast/epiblast/hypoblast are inner derivatives; gamete is unrelated.</li><li><b>D:</b> Trophoblast is the outer layer, embryoblast/epiblast/hypoblast are inner derivatives; gamete is unrelated.</li><li><b>E:</b> Trophoblast is the outer layer, embryoblast/epiblast/hypoblast are inner derivatives; gamete is unrelated.</li></ul><br><b>Exam gold (high-yield)</b><br>
The intraembryonic lateral plate mesoderm generates which of the following?	Limb buds	Epidermis	Central nervous system	Glandular epithelium	Notochord	A	<b>Question</b><br>The intraembryonic lateral plate mesoderm generates which of the following?<br><br><b>Correct answer:</b> A — Limb buds<br><br><b>Core idea (exam focus)</b><br>Lateral plate mesoderm (somatic layer) contributes to limb buds and body wall; splanchnic layer contributes to heart and smooth muscle of gut.<br><br><b>Mechanism / reasoning</b><br><ul><li>Epidermis/CNS = ectoderm; glandular epithelium = endoderm; notochord = axial (chordamesoderm).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> Lateral plate mesoderm contributes to limbs/body wall, other listed tissues originate from ectoderm/endoderm/axial mesoderm.</li><li><b>C:</b> Lateral plate mesoderm contributes to limbs/body wall, other listed tissues originate from ectoderm/endoderm/axial mesoderm.</li><li><b>D:</b> Lateral plate mesoderm contributes to limbs/body wall, other listed tissues originate from ectoderm/endoderm/axial mesoderm.</li><li><b>E:</b> Lateral plate mesoderm contributes to limbs/body wall, other listed tissues originate from ectoderm/endoderm/axial mesoderm.</li></ul><br><b>Exam gold (high-yield)</b><br>
The second meiotic division during oogenesis begins:	Before birth	During birth	During puberty	At the time of ovulation	None of the answers is true	D	<b>Question</b><br>The second meiotic division during oogenesis begins:<br><br><b>Correct answer:</b> D — At the time of ovulation<br><br><b>Core idea (exam focus)</b><br>Primary oocytes are arrested in prophase I before birth. At ovulation, the secondary oocyte is arrested in metaphase II, i.e., meiosis II has begun.<br><br><b>Mechanism / reasoning</b><br><ul><li>Completion occurs only after fertilization.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> Meiosis II begins around ovulation in the secondary oocyte and arrests at metaphase II; other timings are incorrect.</li><li><b>B:</b> Meiosis II begins around ovulation in the secondary oocyte and arrests at metaphase II; other timings are incorrect.</li><li><b>C:</b> Meiosis II begins around ovulation in the secondary oocyte and arrests at metaphase II; other timings are incorrect.</li><li><b>E:</b> Meiosis II begins around ovulation in the secondary oocyte and arrests at metaphase II; other timings are incorrect.</li></ul><br><b>Exam gold (high-yield)</b><br>
