Which specific protein serves as the 'gatekeeper' of the nuclear pore complex, regulating the traffic of molecules between the nucleus and cytoplasm?	Histones	Lamins	Nucleoporins	Importins		C	<div><b>Correct:</b> <b>C</b> — Nucleoporins</div><div><b>Why:</b> Nucleoporins are the large protein assemblies that form the nuclear pore complex and regulate transport.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Histones</li><li><b>B</b> — Lamins</li><li><b>D</b> — Importins</li></ul></div>	CYTOLOGY GEMINI
Regarding the S phase of the cell cycle, which of the following occurs simultaneously with DNA replication?	Disassembly of the nuclear envelope	Alignment of chromosomes	Synthesis of histones	Cytokinesis		C	<div><b>Correct:</b> <b>C</b> — Synthesis of histones</div><div><b>Why:</b> Histone production is tightly coupled with DNA replication during the S phase to package the new DNA.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Disassembly of the nuclear envelope</li><li><b>B</b> — Alignment of chromosomes</li><li><b>D</b> — Cytokinesis</li></ul></div>	CYTOLOGY GEMINI
What is the structural significance of the 8-fold symmetry in the nuclear pore complex?	It facilitates the binding of 8 different histone types.	It corresponds to the 8 phases of mitosis.	It allows for the simultaneous export of 8 mRNA strands.	It provides a massive, organized framework for nucleoporins.		D	<div><b>Correct:</b> <b>D</b> — It provides a massive, organized framework for nucleoporins.</div><div><b>Why:</b> The complex is a highly symmetric assembly of multiple nucleoporins that form the transport channel.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — It facilitates the binding of 8 different histone types.</li><li><b>B</b> — It corresponds to the 8 phases of mitosis.</li><li><b>C</b> — It allows for the simultaneous export of 8 mRNA strands.</li></ul></div>	CYTOLOGY GEMINI
Which substage of Prophase I is characterized by the initiation of 'crossing-over' between non-sister chromatids?	Zygotene	Diplotene	Pachytene	Leptotene		C	<div><b>Correct:</b> <b>C</b> — Pachytene</div><div><b>Why:</b> Pachytene is the specific stage where crossing-over (genetic recombination) takes place.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Zygotene</li><li><b>B</b> — Diplotene</li><li><b>D</b> — Leptotene</li></ul></div>	CYTOLOGY GEMINI
In the 'EXCEPT' logic of MU-Varna, why would labeling chromatin as 'containing primarily RNA' be incorrect?	Chromatin is primarily DNA and associated histones.	Chromatin is made of lipids and proteins.	Chromatin contains no RNA at all.	RNA is only found in the cytoplasm.		A	<div><b>Correct:</b> <b>A</b> — Chromatin is primarily DNA and associated histones.</div><div><b>Why:</b> The defining components of chromatin are DNA and histones; RNA is a secondary or transient component.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>B</b> — Chromatin is made of lipids and proteins.</li><li><b>C</b> — Chromatin contains no RNA at all.: Chromatin does contain some nascent RNA, but it is primarily DNA and protein.</li><li><b>D</b> — RNA is only found in the cytoplasm.</li></ul></div>	CYTOLOGY GEMINI
What happens to the nuclear lamina during the transition from prophase to prometaphase?	Lamins are phosphorylated, causing the lamina to disassemble.	It thickens to protect the DNA.	It detaches from the envelope and moves to the centrosomes.	It converts into the contractile ring.		A	<div><b>Correct:</b> <b>A</b> — Lamins are phosphorylated, causing the lamina to disassemble.</div><div><b>Why:</b> Phosphorylation by kinases leads to the breakdown of both the lamina and the envelope.</div><div><b>High-yield:</b> <ul><li><b>Heterochromatin</b>: condensed, transcriptionally inactive, typically peripheral, attached to the <b>nuclear lamina</b>.</li><li><b>Euchromatin</b>: open, transcriptionally active, lightly stained.</li></ul></div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>B</b> — It thickens to protect the DNA.</li><li><b>C</b> — It detaches from the envelope and moves to the centrosomes.: The lamina does not migrate; its subunits disperse into the cytosol.</li><li><b>D</b> — It converts into the contractile ring.</li></ul></div>	CYTOLOGY GEMINI
Which of the following describes the 'Fibrillar Center' of the nucleolus?	Location of inactive DNA coding for rRNA.	The protein meshwork supporting the nucleolus.	Site of ribosomal subunit assembly.	The region where tRNA is processed.		A	<div><b>Correct:</b> <b>A</b> — Location of inactive DNA coding for rRNA.</div><div><b>Why:</b> The fibrillar center contains the DNA templates for ribosomal RNA.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>B</b> — The protein meshwork supporting the nucleolus.</li><li><b>C</b> — Site of ribosomal subunit assembly.: This describes the granular component.</li><li><b>D</b> — The region where tRNA is processed.</li></ul></div>	CYTOLOGY GEMINI
During apoptosis, what role do the Bcl-2 family proteins play?	They trigger the inflammatory response.	They form the apoptotic bodies.	They act as the primary executioner proteases.	They regulate the release of pro-apoptotic factors from mitochondria.		D	<div><b>Correct:</b> <b>D</b> — They regulate the release of pro-apoptotic factors from mitochondria.</div><div><b>Why:</b> Bcl-2 family members control mitochondrial membrane permeability.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — They trigger the inflammatory response.</li><li><b>B</b> — They form the apoptotic bodies.</li><li><b>C</b> — They act as the primary executioner proteases.</li></ul></div>	CYTOLOGY GEMINI
A cell with a 'Barr Body' is most likely from which individual?	A healthy human male.	A gamete (sperm or egg).	A healthy human female.	A cell undergoing necrosis.		C	<div><b>Correct:</b> <b>C</b> — A healthy human female.</div><div><b>Why:</b> One of the two X chromosomes in females is inactivated and condensed into a Barr body.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — A healthy human male.</li><li><b>B</b> — A gamete (sperm or egg).</li><li><b>D</b> — A cell undergoing necrosis.</li></ul></div>	CYTOLOGY GEMINI
Which protein is the primary component of the 'Contractile Ring' during cytokinesis?	Actin	Vimentin	Tubulin	Lamin B		A	<div><b>Correct:</b> <b>A</b> — Actin</div><div><b>Why:</b> The contractile ring is composed of actin filaments and myosin motor proteins.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>B</b> — Vimentin</li><li><b>C</b> — Tubulin</li><li><b>D</b> — Lamin B</li></ul></div>	CYTOLOGY GEMINI
What is the fate of the nuclear envelope at the end of Telophase?	It transforms into the cell membrane.	It is permanently lost.	It reforms around the individual chromosomes.	It remains dispersed in the cytoplasm.		C	<div><b>Correct:</b> <b>C</b> — It reforms around the individual chromosomes.</div><div><b>Why:</b> The nuclear envelope reassembles around the separated sets of chromosomes to form new nuclei.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — It transforms into the cell membrane.</li><li><b>B</b> — It is permanently lost.</li><li><b>D</b> — It remains dispersed in the cytoplasm.</li></ul></div>	CYTOLOGY GEMINI
Which chromatin type is characterized by being 'transcriptionally active' and 'lightly stained'?	Facultative heterochromatin	Nucleolar chromatin	Constitutive heterochromatin	Euchromatin		D	<div><b>Correct:</b> <b>D</b> — Euchromatin</div><div><b>Why:</b> Euchromatin is dispersed, allowing access for transcription machinery.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Facultative heterochromatin</li><li><b>B</b> — Nucleolar chromatin</li><li><b>C</b> — Constitutive heterochromatin</li></ul></div>	CYTOLOGY GEMINI
What distinguishes Necrosis from Apoptosis regarding the cell's physical size?	Apoptosis involves swelling.	Necrosis involves shrinkage.	Apoptosis involves cell shrinkage.	Both involve the same size changes.		C	<div><b>Correct:</b> <b>C</b> — Apoptosis involves cell shrinkage.</div><div><b>Why:</b> The cell condenses and shrinks during programmed cell death.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Apoptosis involves swelling.</li><li><b>B</b> — Necrosis involves shrinkage.</li><li><b>D</b> — Both involve the same size changes.</li></ul></div>	CYTOLOGY GEMINI
The perinuclear space is the gap between:	The inner and outer nuclear membranes.	The nuclear pore and the RER.	Chromatids during anaphase.	The nucleolus and the lamina.		A	<div><b>Correct:</b> <b>A</b> — The inner and outer nuclear membranes.</div><div><b>Why:</b> The nuclear envelope consists of two membranes separated by this narrow space.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>B</b> — The nuclear pore and the RER.</li><li><b>C</b> — Chromatids during anaphase.</li><li><b>D</b> — The nucleolus and the lamina.</li></ul></div>	CYTOLOGY GEMINI
Which protein is part of the 'core' histone octamer?	H2A	Lamin A	H1	Cohesin		A	<div><b>Correct:</b> <b>A</b> — H2A</div><div><b>Why:</b> The octamer consists of two each of H2A, H2B, H3, and H4.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>B</b> — Lamin A</li><li><b>C</b> — H1: H1 is the linker histone, located outside the octamer core.</li><li><b>D</b> — Cohesin</li></ul></div>	CYTOLOGY GEMINI
A mutation that prevents the formation of the 'synaptonemal complex' would directly affect which process?	Mitotic metaphase	Nuclear pore assembly	Meiotic synapsis	Apoptosis		C	<div><b>Correct:</b> <b>C</b> — Meiotic synapsis</div><div><b>Why:</b> This complex is essential for pairing homologous chromosomes in Meiosis I.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Mitotic metaphase: Synaptonemal complexes are not formed in mitosis.</li><li><b>B</b> — Nuclear pore assembly</li><li><b>D</b> — Apoptosis</li></ul></div>	CYTOLOGY GEMINI
Which nuclear structure is the site of rRNA synthesis and preliminary ribosomal assembly?	Perinuclear space	Nuclear pore	Nuclear lamina	Nucleolus		D	<div><b>Correct:</b> <b>D</b> — Nucleolus</div><div><b>Why:</b> The nucleolus is a specialized region for manufacturing ribosome components.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Perinuclear space</li><li><b>B</b> — Nuclear pore</li><li><b>C</b> — Nuclear lamina</li></ul></div>	CYTOLOGY GEMINI
In the MU-Varna exam, if an option states that the 'spindle is made of actin', why is it incorrect?	The spindle is made of lamins.	Actin is only found in the nucleus.	The spindle is made of DNA.	The spindle is composed of microtubules (tubulin).		D	<div><b>Correct:</b> <b>D</b> — The spindle is composed of microtubules (tubulin).</div><div><b>Why:</b> Microtubules form the spindle fibers; actin forms the cytokinesis ring.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — The spindle is made of lamins.</li><li><b>B</b> — Actin is only found in the nucleus.</li><li><b>C</b> — The spindle is made of DNA.</li></ul></div>	CYTOLOGY GEMINI
During which phase of mitosis do chromosomes align at the equatorial plate?	Prophase	Metaphase	Telophase	Anaphase		B	<div><b>Correct:</b> <b>B</b> — Metaphase</div><div><b>Why:</b> Metaphase is defined by the alignment of chromosomes at the cell&#x27;s center.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Prophase</li><li><b>C</b> — Telophase</li><li><b>D</b> — Anaphase</li></ul></div>	CYTOLOGY GEMINI
What is 'nondisjunction' and when does it classically occur to cause chromosome abnormalities?	The accidental fusion of two nuclei.	Failure of chromosomes to separate during Meiosis I.	Failure of DNA to replicate in S phase.	The rupture of the nuclear envelope in G2.		B	<div><b>Correct:</b> <b>B</b> — Failure of chromosomes to separate during Meiosis I.</div><div><b>Why:</b> Nondisjunction is the failure of separation, often in the first meiotic division.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — The accidental fusion of two nuclei.</li><li><b>C</b> — Failure of DNA to replicate in S phase.</li><li><b>D</b> — The rupture of the nuclear envelope in G2.</li></ul></div>	CYTOLOGY GEMINI
Which of the following describes the 'Pars Granulosa' of the nucleolus?	Lightly stained DNA.	Maturing ribosomal subunits.	Newly synthesized rRNA strands.	The nuclear pore attachment site.		B	<div><b>Correct:</b> <b>B</b> — Maturing ribosomal subunits.</div><div><b>Why:</b> The granular part consists of nearly complete ribosomal subunits ready for export.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Lightly stained DNA.</li><li><b>C</b> — Newly synthesized rRNA strands.: This is the &#x27;pars fibrosa&#x27;.</li><li><b>D</b> — The nuclear pore attachment site.</li></ul></div>	CYTOLOGY GEMINI
What is the primary function of Histone H1?	It forms the core of the nucleosome.	It acts as a caspase during apoptosis.	It synthesizes RNA in the nucleolus.	It stabilizes the 30-nm chromatin fiber by pulling nucleosomes together.		D	<div><b>Correct:</b> <b>D</b> — It stabilizes the 30-nm chromatin fiber by pulling nucleosomes together.</div><div><b>Why:</b> H1 is the &#x27;linker&#x27; histone that helps fold nucleosomes into more compact structures.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — It forms the core of the nucleosome.</li><li><b>B</b> — It acts as a caspase during apoptosis.</li><li><b>C</b> — It synthesizes RNA in the nucleolus.</li></ul></div>	CYTOLOGY GEMINI
Apoptosis during embryonic development is necessary for which of the following?	Creation of the nuclear envelope.	Formation of the nucleolus.	Digit separation (e.g., in the hands).	Initiation of the S phase.		C	<div><b>Correct:</b> <b>C</b> — Digit separation (e.g., in the hands).</div><div><b>Why:</b> The removal of &#x27;webbing&#x27; between fingers is a classic example of programmed cell death.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Creation of the nuclear envelope.</li><li><b>B</b> — Formation of the nucleolus.</li><li><b>D</b> — Initiation of the S phase.</li></ul></div>	CYTOLOGY GEMINI
Which structure connects the nucleus to the Rough ER?	Nuclear lamina.	Nucleolus.	Inner nuclear membrane.	Outer nuclear membrane.		D	<div><b>Correct:</b> <b>D</b> — Outer nuclear membrane.</div><div><b>Why:</b> The outer membrane is physically continuous with the RER membrane.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Nuclear lamina.</li><li><b>B</b> — Nucleolus.</li><li><b>C</b> — Inner nuclear membrane.</li></ul></div>	CYTOLOGY GEMINI
What happens to the DNA in a cell undergoing apoptosis according to a standard 'DNA ladder' test?	It is randomly smeared across the gel.	It is duplicated one last time.	It is cleaved into regular fragments of about 180-200 base pairs.	It remains intact and circular.		C	<div><b>Correct:</b> <b>C</b> — It is cleaved into regular fragments of about 180-200 base pairs.</div><div><b>Why:</b> Caspase-activated DNase cuts DNA between nucleosomes in an ordered pattern.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — It is randomly smeared across the gel.</li><li><b>B</b> — It is duplicated one last time.</li><li><b>D</b> — It remains intact and circular.</li></ul></div>	CYTOLOGY GEMINI
Which of the following is NOT a feature of the nuclear lamina?	Composed of intermediate filaments.	Supports the nuclear envelope structurally.	Binds to heterochromatin at the nuclear periphery.	Contains the genes for ribosomal RNA.		D	<div><b>Correct:</b> <b>D</b> — Contains the genes for ribosomal RNA.</div><div><b>Why:</b> These genes are located in the nucleolus, not the lamina.</div><div><b>High-yield:</b> <ul><li><b>Heterochromatin</b>: condensed, transcriptionally inactive, typically peripheral, attached to the <b>nuclear lamina</b>.</li><li><b>Euchromatin</b>: open, transcriptionally active, lightly stained.</li></ul></div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Composed of intermediate filaments.</li><li><b>B</b> — Supports the nuclear envelope structurally.</li><li><b>C</b> — Binds to heterochromatin at the nuclear periphery.</li></ul></div>	CYTOLOGY GEMINI
During Prophase I, when do homologous chromosomes align side-by-side (synapsis)?	Anaphase I	Leptotene	Zygotene	Metaphase II		C	<div><b>Correct:</b> <b>C</b> — Zygotene</div><div><b>Why:</b> Zygotene is characterized by the &#x27;zipping up&#x27; or synapsis of homologous pairs.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Anaphase I</li><li><b>B</b> — Leptotene</li><li><b>D</b> — Metaphase II: Metaphase II involves sister chromatids, not homologous synapsis.</li></ul></div>	CYTOLOGY GEMINI
What defines the 'Prometaphase' stage in the context of the nuclear envelope?	The envelope completely disassembles into small vesicles.	The envelope re-forms around chromosomes.	The envelope starts to thicken.	The envelope becomes impermeable to all molecules.		A	<div><b>Correct:</b> <b>A</b> — The envelope completely disassembles into small vesicles.</div><div><b>Why:</b> Prometaphase is marked by the final breakdown of the nuclear envelope.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>B</b> — The envelope re-forms around chromosomes.: Re-formation occurs during telophase.</li><li><b>C</b> — The envelope starts to thicken.</li><li><b>D</b> — The envelope becomes impermeable to all molecules.</li></ul></div>	CYTOLOGY GEMINI
In meiosis, the 'reductional' division refers to:	Cytokinesis	Meiosis I	S phase	Meiosis II		B	<div><b>Correct:</b> <b>B</b> — Meiosis I</div><div><b>Why:</b> Meiosis I reduces the chromosome number from diploid (2n) to haploid (n).</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Cytokinesis</li><li><b>C</b> — S phase</li><li><b>D</b> — Meiosis II</li></ul></div>	CYTOLOGY GEMINI
Which molecule is released from the mitochondria to trigger the formation of the apoptosome?	DNA ligase	Cytochrome c	ATP	RNA polymerase		B	<div><b>Correct:</b> <b>B</b> — Cytochrome c</div><div><b>Why:</b> The release of Cytochrome c into the cytosol is the &#x27;point of no return&#x27; for apoptosis.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — DNA ligase</li><li><b>C</b> — ATP</li><li><b>D</b> — RNA polymerase</li></ul></div>	CYTOLOGY GEMINI
A cell in G0 is described as:	Exited the cell cycle and entered a quiescent state.	Replicating its DNA.	Undergoing rapid division.	Undergoing apoptosis.		A	<div><b>Correct:</b> <b>A</b> — Exited the cell cycle and entered a quiescent state.</div><div><b>Why:</b> Cells in G0 are metabolically active but have stopped dividing.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>B</b> — Replicating its DNA.</li><li><b>C</b> — Undergoing rapid division.</li><li><b>D</b> — Undergoing apoptosis.</li></ul></div>	CYTOLOGY GEMINI
The 'nuclear pore complex' shows what type of rotational symmetry?	Two-fold	Eight-fold	Circular (no symmetry)	Six-fold		B	<div><b>Correct:</b> <b>B</b> — Eight-fold</div><div><b>Why:</b> The NPC is composed of eight protein subunits arranged in a ring.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Two-fold</li><li><b>C</b> — Circular (no symmetry)</li><li><b>D</b> — Six-fold</li></ul></div>	CYTOLOGY GEMINI
During apoptosis, cell 'blebbing' refers to:	The formation of irregular bulges in the plasma membrane.	The swelling of the mitochondria.	The condensation of the nucleus.	The fusion of lysosomes with the nucleus.		A	<div><b>Correct:</b> <b>A</b> — The formation of irregular bulges in the plasma membrane.</div><div><b>Why:</b> Blebbing is the protrusion of the membrane as the cytoskeleton breaks down.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>B</b> — The swelling of the mitochondria.</li><li><b>C</b> — The condensation of the nucleus.</li><li><b>D</b> — The fusion of lysosomes with the nucleus.</li></ul></div>	CYTOLOGY GEMINI
Which enzyme is responsible for the 'fragmentation' of DNA into nucleosomal units during apoptosis?	Proteasome	Endonuclease (CAD)	Helicase	DNA Polymerase		B	<div><b>Correct:</b> <b>B</b> — Endonuclease (CAD)</div><div><b>Why:</b> Caspase-activated DNase (CAD) is the enzyme that cuts the DNA.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — Proteasome</li><li><b>C</b> — Helicase</li><li><b>D</b> — DNA Polymerase</li></ul></div>	CYTOLOGY GEMINI
Which of the following is true regarding the 'Inner Nuclear Membrane'?	It is made of proteins only.	It is continuous with the plasma membrane.	It is associated with the nuclear lamina and heterochromatin.	It is covered with ribosomes.		C	<div><b>Correct:</b> <b>C</b> — It is associated with the nuclear lamina and heterochromatin.</div><div><b>Why:</b> The inner membrane provides an anchor point for the lamina and peripheral DNA.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — It is made of proteins only.</li><li><b>B</b> — It is continuous with the plasma membrane.</li><li><b>D</b> — It is covered with ribosomes.</li></ul></div>	CYTOLOGY GEMINI
A cell with highly active transcription would show:	Extensive euchromatin and a large nucleolus.	A very small nucleus.	Large amounts of heterochromatin.	No nuclear pores.		A	<div><b>Correct:</b> <b>A</b> — Extensive euchromatin and a large nucleolus.</div><div><b>Why:</b> Active cells need open DNA (euchromatin) and many ribosomes (large nucleolus).</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>B</b> — A very small nucleus.</li><li><b>C</b> — Large amounts of heterochromatin.</li><li><b>D</b> — No nuclear pores.</li></ul></div>	CYTOLOGY GEMINI
What is 'Pyknosis'?	The duplication of the nucleolus.	The breakdown of the plasma membrane.	The condensation and shrinkage of the nucleus.	The movement of chromosomes to the poles.		C	<div><b>Correct:</b> <b>C</b> — The condensation and shrinkage of the nucleus.</div><div><b>Why:</b> Pyknosis is the hallmark nuclear condensation seen in both apoptosis and necrosis.</div><div><b>High-yield:</b> </div><div><b>Why the other options are wrong / less precise:</b><ul><li><b>A</b> — The duplication of the nucleolus.</li><li><b>B</b> — The breakdown of the plasma membrane.</li><li><b>D</b> — The movement of chromosomes to the poles.</li></ul></div>	CYTOLOGY GEMINI
